room_type,availability_365,host_is_superhost,cleaning_fee,cost_per_one_night,property_type,accommodates,cancellation_policy,host_identity_verified,bedrooms,number_of_reviews,city,beds,security_deposit,zipcode,minimum_nights,bathroom_per_person,latitude,longitude,bedroom_per_person,price
1.0,0.0,0.0,0.0,91,15.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2026.0,1.0,0.5,-33.88937204,151.2696994,0.5,91.0
0.0,17.0,1.0,160.0,120,0.0,4.0,1.0,1.0,2.0,3.0,0.0,2.0,600.0,2026.0,2.0,0.5,-33.88910106,151.265418,0.5,240.0
1.0,42.0,0.0,25.0,35,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2026.0,3.0,0.5,-33.89368347,151.2605975,0.0,105.0
0.0,65.0,0.0,100.0,50,0.0,4.0,2.0,1.0,2.0,18.0,0.0,3.0,500.0,2026.0,5.0,0.5,-33.89585433,151.2594923,0.5,250.0
0.0,0.0,0.0,75.0,58,0.0,4.0,2.0,1.0,2.0,4.0,0.0,2.0,135.0,2026.0,6.0,0.5,-33.88729963,151.2729719,0.5,349.0
0.0,0.0,0.0,0.0,33,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,3.0,0.5,-33.89189219,151.2712125,0.5,100.0
1.0,77.0,0.0,0.0,21,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2026.0,3.0,0.5,-33.8902003,151.2602464,0.5,63.0
1.0,0.0,0.0,40.0,60,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2022.0,2.0,0.5,-33.89084392,151.2498431,0.5,120.0
0.0,0.0,0.0,0.0,63,0.0,4.0,2.0,1.0,2.0,4.0,0.0,3.0,500.0,2026.0,5.0,0.25,-33.89313228,151.2709533,0.5,319.0
1.0,0.0,0.0,0.0,17,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,2026.0,21.0,1.0,-33.89291799,151.2834697,4.0,365.0
1.0,147.0,0.0,0.0,14,0.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,2026.0,4.0,2.0,-33.89223855,151.2676898,1.0,59.0
2.0,0.0,0.0,0.0,30,15.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,1.0,1.0,-33.88665283,151.2735237,1.0,30.0
1.0,0.0,0.0,20.0,35,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,200.0,2026.0,2.0,0.5,-33.89140225,151.2660255,0.5,70.0
0.0,19.0,0.0,0.0,50,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2026.0,2.0,0.25,-33.88655041,151.2755582,0.5,100.0
