city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price,zipcode,state
Redfern,151.2094067,-33.89123115,92.0,153,2,2,1.0,1.0,1.0,200.0,60.0,Loft,Entire home/apt,213,0.0,0.0,strict_14_with_grace_period,112.0,2016,NSW
Darlinghurst,151.2202959,-33.87804132,80.0,2,7,2,1.0,0.0,1.0,0.0,0.0,Apartment,Entire home/apt,0,0.0,0.0,strict_14_with_grace_period,77.0,2010,NSW
Mascot,151.1984639,-33.93097836,100.0,10,1,2,1.0,1.0,1.0,150.0,30.0,House,Private room,229,1.0,1.0,moderate,80.0,2020,NSW
Kirribilli,151.2189606,-33.8490037,100.0,1,3,2,1.0,1.0,1.0,200.0,80.0,Apartment,Entire home/apt,0,1.0,0.0,strict_14_with_grace_period,115.0,2061,NSW
Bondi Beach,151.2679935,-33.88830336,92.0,5,3,2,1.0,1.0,1.0,0.0,20.0,Apartment,Private room,0,1.0,0.0,strict_14_with_grace_period,100.0,2026,NSW
Belmore,151.0826742,-33.9097506,,0,2,1,1.0,1.0,1.0,0.0,0.0,Townhouse,Private room,364,1.0,0.0,flexible,125.0,2192.0,NSW
Warriewood,151.3043637,-33.68895163,,0,7,6,2.5,4.0,4.0,500.0,150.0,House,Entire home/apt,84,0.0,0.0,flexible,250.0,2102.0,NSW
Lane Cove North,151.1656401,-33.8053022,100.0,3,1,2,1.0,1.0,1.0,350.0,50.0,Townhouse,Private room,346,0.0,0.0,flexible,97.0,2066,NSW
Bondi Beach,151.2634708,-33.89292626,100.0,1,2,2,1.0,1.0,1.0,0.0,20.0,Apartment,Private room,0,1.0,0.0,flexible,60.0,2026,NSW
Bondi Beach,151.279342,-33.8874817,,0,4,4,1.0,2.0,3.0,0.0,0.0,Apartment,Entire home/apt,178,1.0,0.0,strict_14_with_grace_period,258.0,2026.0,NSW
