city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price,zipcode
Bondi Beach,151.2784203,-33.88457987,,0,3,6,1.0,2.0,3.0,300.0,20.0,Apartment,Entire home/apt,0,f,f,flexible,189.0,2026
Bondi Beach,151.2783841,-33.88277493,90.0,2,3,4,1.0,1.0,1.0,0.0,90.0,Apartment,Entire home/apt,87,t,f,flexible,250.0,2026
Bondi Beach,151.2538764,-33.88981957,100.0,2,5,1,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,f,f,moderate,74.0,2022
Bondi Beach,151.2776638,-33.88576321,100.0,1,1,4,1.0,2.0,2.0,0.0,0.0,Apartment,Entire home/apt,0,f,f,moderate,180.0,2026
Bondi Beach,151.2776534,-33.88683497,100.0,1,10,2,1.0,1.0,1.0,0.0,0.0,Apartment,Entire home/apt,0,f,f,flexible,200.0,2026
Bondi Beach,151.2685383,-33.89411395,,0,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,f,f,flexible,139.0,2026
Bondi Beach,151.2523207,-33.89197678,100.0,13,1,1,1.0,1.0,1.0,500.0,0.0,Apartment,Private room,0,t,t,flexible,55.0,2022
Bondi Beach,151.2798412,-33.88773563,98.0,12,3,2,1.0,1.0,1.0,0.0,30.0,Apartment,Entire home/apt,0,t,f,moderate,150.0,2026
Bondi Beach,151.2681802,-33.88999851,,0,4,1,1.5,1.0,1.0,0.0,0.0,Apartment,Private room,83,f,f,flexible,80.0,2026
Bondi Beach,151.2754496,-33.88765747,,0,3,4,1.0,2.0,2.0,500.0,90.0,Apartment,Entire home/apt,2,f,f,strict_14_with_grace_period,207.0,2026
Bondi Beach,151.2720321,-33.88975389,95.0,19,1,2,1.0,1.0,1.0,0.0,40.0,Apartment,Entire home/apt,0,f,f,moderate,195.0,2026
Bondi Beach,151.2621198,-33.89067824,,0,1,1,1.0,1.0,1.0,0.0,15.0,Apartment,Private room,88,f,f,flexible,50.0,2026
Bondi Beach,151.2695607,-33.89195888,100.0,7,4,2,1.0,2.0,1.0,0.0,0.0,Apartment,Entire home/apt,3,f,f,strict_14_with_grace_period,160.0,2026
Bondi Beach,151.2442444,-33.89235899,97.0,25,1,2,1.5,1.0,1.0,0.0,20.0,House,Private room,318,t,t,strict_14_with_grace_period,80.0,2022
